POB1,nom_estado,nom_mun,2006,2007,2008,2009,2010,2011,2012,2013,2014
3734,Puebla,Atexcal,0,0,0,0,0,0,0,0,0
127062,Puebla,Atlixco,0,0,0,0,1,0,3,1,6
6426,Puebla,Atoyatempan,0,0,1,0,0,0,0,0,0
1228,Puebla,Atzala,0,0,0,0,0,0,0,0,0
11684,Puebla,Atzitzihuacán,0,0,0,0,0,0,0,0,0
8408,Puebla,Atzitzintla,0,0,0,0,0,0,0,0,0
947,Puebla,Axutla,0,0,0,0,0,0,0,0,0
8153,Puebla,Ayotoxco de Guerrero,0,0,0,0,0,0,0,0,0
13730,Puebla,Calpan,0,0,0,0,0,0,0,0,0
4177,Puebla,Caltepec,0,0,0,0,0,0,0,0,0
2476,Puebla,Camocuautla,0,0,0,0,0,0,0,0,0
3791,Puebla,Caxhuacan,0,0,0,0,0,0,0,0,1
758,Puebla,Coatepec,0,0,0,0,0,0,0,0,0
2964,Puebla,Coatzingo,0,0,0,0,0,0,0,0,0
1283,Puebla,Cohetzala,0,0,0,0,0,0,0,0,0
4763,Puebla,Cohuecan,0,0,0,0,0,0,0,0,0
34596,Puebla,Coronango,0,0,0,0,0,0,0,0,0
19639,Puebla,Coxcatlán,0,0,0,0,0,0,0,0,0
14205,Puebla,Coyomeapan,0,0,0,0,0,0,0,0,0
2339,Puebla,Coyotepec,0,0,0,0,0,0,0,0,0
8709,Puebla,Cuapiaxtla de Madero,0,0,0,0,0,0,0,0,0
9212,Puebla,Cuautempan,0,0,0,0,0,0,0,0,0
9538,Puebla,Cuautinchán,0,0,0,0,0,0,0,0,0
79153,Puebla,Cuautlancingo,0,0,0,0,0,0,0,0,0
3062,Puebla,Cuayuca de Andrade,0,0,0,0,0,0,0,0,0
47433,Puebla,Cuetzalan del Progreso,0,0,0,0,0,0,0,3,1
15367,Puebla,Cuyoaco,0,0,0,0,0,0,0,0,0
43882,Puebla,Chalchicomula de Sesma,0,0,0,0,0,0,0,1,5
6992,Puebla,Chapulco,0,0,0,0,0,0,0,0,0
19037,Puebla,Chiautla,0,0,0,0,0,0,0,0,0
18762,Puebla,Chiautzingo,0,0,0,0,0,0,0,0,0
15767,Puebla,Chiconcuautla,0,0,0,0,0,0,0,0,0
24148,Puebla,Chichiquila,0,0,0,0,0,0,0,0,0
33935,Puebla,Chietla,0,0,0,0,0,0,0,0,0
1227,Puebla,Chigmecatitlán,0,0,0,0,0,0,0,0,0
57909,Puebla,Chignahuapan,0,0,0,0,0,0,0,0,5
30254,Puebla,Chignautla,0,0,0,0,0,0,1,0,0
4699,Puebla,Chila,0,0,0,0,0,0,0,0,0
1237,Puebla,Chila de la Sal,0,0,0,0,0,0,0,0,0
7463,Puebla,Honey,0,0,0,0,0,0,0,0,0
19257,Puebla,Chilchotla,0,0,0,0,0,0,0,0,0
2468,Puebla,Chinantla,0,0,0,0,0,0,0,0,0
6946,Puebla,Domingo Arenas,0,0,0,0,0,0,0,0,0
12575,Puebla,Eloxochitlán,0,0,0,0,0,0,0,0,0
4594,Puebla,Epatlán,0,0,0,0,0,0,0,0,0
13785,Puebla,Esperanza,0,0,0,0,0,0,0,0,1
16270,Puebla,Francisco Z. Mena,0,0,0,0,0,0,0,0,0
19040,Puebla,General Felipe Ángeles,0,0,0,0,0,0,0,0,0
6276,Puebla,Guadalupe,0,0,0,0,0,0,0,0,0
16551,Puebla,Guadalupe Victoria,0,0,0,0,0,0,0,0,0
7718,Puebla,Hermenegildo Galeana,0,0,0,0,0,0,0,0,0
25373,Puebla,Huaquechula,0,0,0,0,0,0,0,0,0
6643,Puebla,Huatlatlauca,0,0,0,0,0,0,0,0,0
97753,Puebla,Huauchinango,0,0,2,0,0,2,3,3,6
15689,Puebla,Huehuetla,0,0,0,0,0,0,0,0,0
8679,Puebla,Huehuetlán el Chico,0,0,0,0,0,0,0,0,0
63457,Puebla,Huejotzingo,0,0,0,0,0,0,3,3,6
11868,Puebla,Hueyapan,0,0,0,0,0,0,0,0,0
26689,Puebla,Hueytamalco,0,0,0,0,0,0,0,0,0
5734,Puebla,Hueytlalpan,0,0,0,0,0,0,0,0,0
13982,Puebla,Huitzilan de Serdán,0,0,0,0,0,0,0,0,0
5306,Puebla,Huitziltepec,0,0,0,0,0,0,0,0,0
2833,Puebla,Atlequizayán,0,0,0,0,0,0,0,0,0
3695,Puebla,Ixcamilpa de Guerrero,0,0,0,0,0,0,0,0,0
8093,Puebla,Ixcaquixtla,0,0,0,0,0,0,0,0,0
25326,Puebla,Ixtacamaxtitlán,0,0,0,0,0,0,0,0,0
6811,Puebla,Ixtepec,0,0,0,0,0,0,0,0,0
72799,Puebla,Izúcar de Matamoros,0,0,0,0,0,1,3,2,9
12547,Puebla,Jalpan,0,0,0,0,0,0,0,0,0
12662,Puebla,Jolalpan,0,0,0,0,0,0,0,0,0
4598,Puebla,Jonotla,0,0,0,0,0,0,0,0,0
12997,Puebla,Jopala,0,0,0,0,0,0,0,0,0
18540,Puebla,Juan C. Bonilla,0,0,0,0,0,0,0,0,0
10213,Puebla,Juan Galindo,0,0,0,0,0,0,0,0,0
5223,Puebla,Juan N. Méndez,0,0,0,0,0,0,0,0,0
7767,Puebla,Lafragua,0,0,0,0,0,0,0,0,0
31532,Puebla,Libres,0,0,1,0,0,0,0,0,0
484,Puebla,La Magdalena Tlatlauquitepec,0,0,0,0,0,0,0,0,0
2633,Puebla,Mazapiltepec de Juárez,0,0,0,0,0,0,0,0,0
2216,Puebla,Mixtla,0,0,0,0,0,0,0,0,0
6218,Puebla,Molcaxac,0,0,0,0,0,0,0,0,0
18954,Puebla,Cañada Morelos,0,0,0,0,0,0,0,0,0
9707,Puebla,Naupan,0,0,1,0,0,0,0,0,0
3598,Puebla,Nauzontla,0,0,0,0,0,0,0,0,0
12011,Puebla,Nealtican,0,0,0,0,0,0,0,0,0
6009,Puebla,Nicolás Bravo,0,0,0,0,1,0,0,0,0
27292,Puebla,Nopalucan,0,0,0,0,0,0,0,0,0
4825,Puebla,Ocotepec,0,0,0,0,0,0,0,0,0
25720,Puebla,Ocoyucan,0,0,0,0,0,0,0,0,0
11641,Puebla,Olintla,0,0,0,0,0,0,0,0,0
16575,Puebla,Oriental,0,0,0,0,0,0,0,2,2
20618,Puebla,Pahuatlán,0,0,0,0,0,0,0,0,0
42887,Puebla,Palmar de Bravo,0,0,0,0,0,0,0,0,1
18435,Puebla,Pantepec,0,0,0,0,0,0,0,1,0
9382,Puebla,Petlalcingo,0,0,0,0,0,0,0,0,0
4585,Puebla,Piaxtla,0,0,0,0,0,0,0,0,0
1539819,Puebla,Puebla,0,3,11,42,37,42,34,65,174
47281,Puebla,Quecholac,0,0,0,0,0,0,0,0,0
21275,Puebla,Quimixtlán,0,0,0,0,0,0,0,0,0
14052,Puebla,Rafael Lara Grajales,0,0,0,0,0,0,1,1,0
25553,Puebla,Los Reyes de Juárez,0,0,0,0,0,0,1,0,0
100439,Puebla,San Andrés Cholula,0,0,0,0,0,0,1,2,2
5110,Puebla,San Antonio Cañada,0,0,1,0,0,0,0,0,0
1132,Puebla,San Diego la Mesa Tochimiltzin,0,0,0,0,0,0,0,0,0
9426,Puebla,San Felipe Teotlalcingo,0,0,0,0,0,0,1,0,0
4120,Puebla,San Felipe Tepatlán,0,0,0,0,0,0,0,0,0
